id_fecha;Pauta;Fecha;Flag_timing;dia_laboral;nro_registros;nro_registros_condni;nro_aprobados;nro_pre_aprobado;nro_sin_campaña;gestionado;contactado;derivacion_Ope;desembolso_m_tlmk;desembolso_m_tlmk_neto;desembolso_n_tlmk;desembolso_n_total;desembolso_m_neto_total;desembolso_n_eds;desembolso_m_neto_eds
250131;9.Otros;2025-01-24;0;20.0;92;42;1;15;26;3;1;1;3000;3000.0;1;2;10900.0;1;7900.0
250131;9.Otros;2025-01-30;0;25.0;91;63;7;7;49;9;6;2;6000;6000.0;2;2;6000.0;0;0.0
250228;1.Aprobado;2025-02-08;0;7.0;89;66;1;2;63;1;0;0;0;0.0;0;0;0.0;0;0.0
250228;3.Camp_act;2025-02-15;0;13.0;28;17;1;0;16;1;1;1;2700;2700.0;1;1;2700.0;0;0.0
250331;1.Aprobado;2025-03-02;0;0.0;1;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;1.Aprobado;2025-03-26;0;22.0;155;133;0;7;126;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;4.Camp_QR;2025-03-11;0;9.0;7;7;0;1;6;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;6.Ahorros;2025-03-15;0;13.0;17;15;0;0;15;0;0;0;0;0.0;0;0;0.0;0;0.0
250131;5.Otro_add;2025-01-18;0;15.0;211;113;3;9;101;3;3;3;6500;6500.0;2;2;6500.0;0;0.0
250131;9.Otros;2025-01-14;0;11.0;152;4;0;1;3;0;0;0;0;0.0;0;0;0.0;0;0.0
250228;1.Aprobado;2025-02-02;0;0.0;1;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0.0
250228;2.Escolar;2025-02-08;0;7.0;83;61;1;2;58;1;1;1;2600;2600.0;1;1;2600.0;0;0.0
250228;4.Camp_QR;2025-02-13;0;11.0;134;131;17;32;82;15;9;3;0;0.0;0;0;0.0;0;0.0
250228;6.Ahorros;2025-02-14;0;12.0;6;6;0;0;6;0;0;0;0;0.0;0;0;0.0;0;0.0
250228;6.Ahorros;2025-02-16;0;0.0;10;2;0;0;2;0;0;0;0;0.0;0;0;0.0;0;0.0
250228;9.Otros;2025-02-19;0;16.0;67;33;4;4;25;5;4;1;0;0.0;0;1;3000.0;1;3000.0
250331;1.Aprobado;2025-03-12;0;10.0;18;16;1;0;15;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;4.Camp_QR;2025-03-13;0;11.0;2;2;0;0;2;1;1;0;0;0.0;0;0;0.0;0;0.0
250331;6.Ahorros;2025-03-10;0;8.0;23;19;0;0;19;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;6.Ahorros;2025-03-11;0;9.0;18;13;0;0;13;0;0;0;0;0.0;0;0;0.0;0;0.0
250131;5.Otro_add;2025-01-31;0;26.0;1;1;0;0;1;0;0;0;0;0.0;0;0;0.0;0;0.0
250131;6.Ahorros;2025-01-10;0;8.0;29;1;0;0;1;0;0;0;0;0.0;0;0;0.0;0;0.0
250131;6.Ahorros;2025-01-17;0;14.0;80;28;0;1;27;0;0;0;0;0.0;0;0;0.0;0;0.0
250131;6.Ahorros;2025-01-20;0;16.0;62;12;0;0;12;0;0;0;0;0.0;0;0;0.0;0;0.0
250131;8.FB;2025-01-29;0;24.0;1;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0.0
250131;9.Otros;2025-01-20;0;16.0;88;58;3;8;47;3;3;2;3000;3000.0;1;1;3000.0;0;0.0
250228;1.Aprobado;2025-02-13;0;11.0;63;48;0;4;44;0;0;0;0;0.0;0;0;0.0;0;0.0
250228;4.Camp_QR;2025-02-10;0;8.0;202;197;15;43;139;12;9;1;0;0.0;0;0;0.0;0;0.0
250228;6.Ahorros;2025-02-11;0;9.0;20;18;0;0;18;0;0;0;0;0.0;0;0;0.0;0;0.0
250228;6.Ahorros;2025-02-12;0;10.0;20;18;0;0;18;0;0;0;0;0.0;0;0;0.0;0;0.0
250228;9.Otros;2025-02-13;0;11.0;182;70;21;7;42;20;16;9;6000;6000.0;2;2;6000.0;0;0.0
250228;9.Otros;2025-02-28;0;24.0;74;25;9;2;14;9;5;3;0;0.0;0;0;0.0;0;0.0
250331;1.Aprobado;2025-03-27;0;23.0;172;139;0;7;132;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;2.Escolar;2025-03-18;0;15.0;74;68;0;0;68;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;9.Otros;2025-03-20;0;17.0;331;136;14;16;106;49;40;23;36800;34895.79;7;10;40895.79;3;6000.0
250131;1.Aprobado;2025-01-08;0;6.0;1;1;0;0;1;0;0;0;0;0.0;0;0;0.0;0;0.0
250131;1.Aprobado;2025-01-19;0;0.0;13;2;0;1;1;1;0;0;0;0.0;0;0;0.0;0;0.0
250131;6.Ahorros;2025-01-18;0;15.0;59;13;0;0;13;0;0;0;0;0.0;0;0;0.0;0;0.0
250131;6.Ahorros;2025-01-22;0;18.0;54;10;0;0;10;0;0;0;0;0.0;0;0;0.0;0;0.0
250131;6.Ahorros;2025-01-31;0;26.0;30;7;0;0;7;0;0;0;0;0.0;0;0;0.0;0;0.0
250131;9.Otros;2025-01-01;1;0.0;11;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0.0
250131;9.Otros;2025-01-06;0;4.0;543;5;3;0;2;3;3;0;0;0.0;0;0;0.0;0;0.0
250131;9.Otros;2025-01-25;0;21.0;58;27;3;5;19;3;3;2;3000;3000.0;1;1;3000.0;0;0.0
250131;9.Otros;2025-01-28;0;23.0;126;67;14;8;45;14;9;1;3000;3000.0;1;1;3000.0;0;0.0
250228;1.Aprobado;2025-02-06;0;5.0;40;30;0;1;29;0;0;0;0;0.0;0;0;0.0;0;0.0
250228;1.Aprobado;2025-02-22;0;19.0;257;191;0;11;180;3;2;1;0;0.0;0;0;0.0;0;0.0
250228;1.Aprobado;2025-02-23;0;0.0;236;22;0;1;21;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;1.Aprobado;2025-03-06;0;5.0;93;82;2;9;71;4;4;1;2100;2100.0;1;1;2100.0;0;0.0
250331;1.Aprobado;2025-03-11;0;9.0;110;92;1;2;89;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;1.Aprobado;2025-03-14;0;12.0;19;12;0;2;10;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;2.Escolar;2025-03-11;0;9.0;52;50;0;1;49;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;4.Camp_QR;2025-03-17;0;14.0;4;4;1;1;2;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;6.Ahorros;2025-03-18;0;15.0;15;14;0;0;14;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;8.FB;2025-03-04;0;3.0;5;3;0;1;2;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;9.Otros;2025-03-02;0;0.0;23;2;1;1;0;2;2;2;2300;2300.0;1;1;2300.0;0;0.0
